ok  	github.com/joeycumines/one-shot-man/cmd/osm	0.598s
goos: darwin
goarch: arm64
pkg: github.com/joeycumines/one-shot-man/internal
cpu: Apple M2 Pro
BenchmarkConfigLoading/ConfigValidation-10                            	31528302	        37.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigValidation-10                            	31930214	        37.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkConfigLoading/ConfigValidation-10                            	31756008	        37.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkScriptingEngine/VMCreation-10                                	 2859306	       430.9 ns/op	    1760 B/op	       8 allocs/op
BenchmarkScriptingEngine/VMCreation-10                                	 2804276	       443.0 ns/op	    1760 B/op	       8 allocs/op
BenchmarkScriptingEngine/VMCreation-10                                	 2754120	       431.2 ns/op	    1760 B/op	       8 allocs/op
BenchmarkScriptingEngine/VMCreation-10                                	 2729254	       427.7 ns/op	    1760 B/op	       8 allocs/op
BenchmarkScriptingEngine/VMCreation-10                                	 2931764	       420.8 ns/op	    1760 B/op	       8 allocs/op
BenchmarkScriptingEngine/RuntimeCreation-10                           	   66201	     17595 ns/op	   19255 B/op	     208 allocs/op
BenchmarkScriptingEngine/RuntimeCreation-10                           	   68608	     17603 ns/op	   19259 B/op	     208 allocs/op
BenchmarkScriptingEngine/RuntimeCreation-10                           	   68601	     18160 ns/op	   19263 B/op	     208 allocs/op
BenchmarkScriptingEngine/RuntimeCreation-10                           	   67047	     17951 ns/op	   19265 B/op	     208 allocs/op
BenchmarkScriptingEngine/RuntimeCreation-10                           	   68090	     17969 ns/op	   19267 B/op	     208 allocs/op
BenchmarkScriptingEngine/GlobalRegistration-10                        	 1000000	      1077 ns/op	     488 B/op	       9 allocs/op
BenchmarkScriptingEngine/GlobalRegistration-10                        	 1000000	      1078 ns/op	     488 B/op	       9 allocs/op
BenchmarkScriptingEngine/GlobalRegistration-10                        	 1000000	      1087 ns/op	     488 B/op	       9 allocs/op
BenchmarkScriptingEngine/GlobalRegistration-10                        	 1000000	      1073 ns/op	     488 B/op	       9 allocs/op
BenchmarkScriptingEngine/GlobalRegistration-10                        	 1000000	      1074 ns/op	     488 B/op	       9 allocs/op
BenchmarkScriptingEngine/SimpleScriptExecution-10                     	  229482	      5239 ns/op	    3944 B/op	      80 allocs/op
BenchmarkScriptingEngine/SimpleScriptExecution-10                     	  232804	      5300 ns/op	    3944 B/op	      80 allocs/op
BenchmarkScriptingEngine/SimpleScriptExecution-10                     	  223075	      5274 ns/op	    3944 B/op	      80 allocs/op
BenchmarkScriptingEngine/SimpleScriptExecution-10                     	  226960	      5273 ns/op	    3944 B/op	      80 allocs/op
BenchmarkScriptingEngine/SimpleScriptExecution-10                     	  234152	      5263 ns/op	    3944 B/op	      80 allocs/op
BenchmarkScriptingEngine/ScriptCompilation-10                         	  451948	      2651 ns/op	    3936 B/op	      70 allocs/op
BenchmarkScriptingEngine/ScriptCompilation-10                         	  444691	      2655 ns/op	    3936 B/op	      70 allocs/op
BenchmarkScriptingEngine/ScriptCompilation-10                         	  454359	      2642 ns/op	    3936 B/op	      70 allocs/op
BenchmarkScriptingEngine/ScriptCompilation-10                         	  452737	      2632 ns/op	    3936 B/op	      70 allocs/op
BenchmarkScriptingEngine/ScriptCompilation-10                         	  460353	      2666 ns/op	    3936 B/op	      70 allocs/op
BenchmarkScriptingEngine/ScriptExecutionWithVM-10                     	 1000000	      1173 ns/op	    2704 B/op	      23 allocs/op
BenchmarkScriptingEngine/ScriptExecutionWithVM-10                     	 1000000	      1173 ns/op	    2704 B/op	      23 allocs/op
BenchmarkScriptingEngine/ScriptExecutionWithVM-10                     	 1000000	      1201 ns/op	    2704 B/op	      23 allocs/op
BenchmarkScriptingEngine/ScriptExecutionWithVM-10                     	  991728	      1337 ns/op	    2704 B/op	      23 allocs/op
BenchmarkScriptingEngine/ScriptExecutionWithVM-10                     	  980434	      1166 ns/op	    2704 B/op	      23 allocs/op
BenchmarkScriptingEngine/FullEngineCreation-10                        	    9196	    138733 ns/op	  161964 B/op	     860 allocs/op
BenchmarkScriptingEngine/FullEngineCreation-10                        	    9032	    131086 ns/op	  161481 B/op	     859 allocs/op
BenchmarkScriptingEngine/FullEngineCreation-10                        	    9201	    127736 ns/op	  161192 B/op	     858 allocs/op
BenchmarkScriptingEngine/FullEngineCreation-10                        	    9552	    124919 ns/op	  161178 B/op	     858 allocs/op
BenchmarkScriptingEngine/FullEngineCreation-10                        	    8677	    123717 ns/op	  160967 B/op	     858 allocs/op
BenchmarkCommandExecution/CommandRegistration-10                      	   42583	     30147 ns/op	   10503 B/op	     162 allocs/op
BenchmarkCommandExecution/CommandRegistration-10                      	   42720	     27883 ns/op	   10504 B/op	     162 allocs/op
BenchmarkCommandExecution/CommandRegistration-10                      	   43143	     27862 ns/op	   10504 B/op	     162 allocs/op
BenchmarkCommandExecution/CommandRegistration-10                      	   42888	     27949 ns/op	   10504 B/op	     162 allocs/op
BenchmarkCommandExecution/CommandRegistration-10                      	   42890	     27903 ns/op	   10504 B/op	     162 allocs/op
ok  	github.com/joeycumines/one-shot-man/internal	189.411s
ok  	github.com/joeycumines/one-shot-man/internal/argv	0.486s
ok  	github.com/joeycumines/one-shot-man/internal/builtin	0.717s
ok  	github.com/joeycumines/one-shot-man/internal/builtin/argv	0.508s
goos: darwin
goarch: arm64
pkg: github.com/joeycumines/one-shot-man/internal/builtin/bt
cpu: Apple M2 Pro
BenchmarkRunOnLoop-10                           	11548260	       101.5 ns/op	      40 B/op	       2 allocs/op
BenchmarkRunOnLoop-10                           	11533651	       102.1 ns/op	      40 B/op	       2 allocs/op
BenchmarkRunOnLoop-10                           	11420454	       102.6 ns/op	      40 B/op	       2 allocs/op
BenchmarkRunOnLoop-10                           	11832466	       101.7 ns/op	      40 B/op	       2 allocs/op
BenchmarkRunOnLoop-10                           	11694879	       101.9 ns/op	      40 B/op	       2 allocs/op
BenchmarkRunJSSync-10                           	 1333459	       900.2 ns/op	     424 B/op	       7 allocs/op
BenchmarkRunJSSync-10                           	 1321699	       904.3 ns/op	     424 B/op	       7 allocs/op
BenchmarkRunJSSync-10                           	 1320244	       902.3 ns/op	     424 B/op	       7 allocs/op
BenchmarkRunJSSync-10                           	 1322918	       922.0 ns/op	     424 B/op	       7 allocs/op
BenchmarkRunJSSync-10                           	 1200376	       904.9 ns/op	     424 B/op	       7 allocs/op
BenchmarkRunJSSync_WithJSExecution-10           	 1000000	      1017 ns/op	     472 B/op	       9 allocs/op
BenchmarkRunJSSync_WithJSExecution-10           	 1000000	      1019 ns/op	     472 B/op	       9 allocs/op
BenchmarkRunJSSync_WithJSExecution-10           	 1000000	      1017 ns/op	     472 B/op	       9 allocs/op
BenchmarkRunJSSync_WithJSExecution-10           	 1000000	      1016 ns/op	     472 B/op	       9 allocs/op
BenchmarkRunJSSync_WithJSExecution-10           	 1000000	      1011 ns/op	     472 B/op	       9 allocs/op
BenchmarkRunJSSync_RealisticUpdate-10           	  546177	      2098 ns/op	    1872 B/op	      24 allocs/op
BenchmarkRunJSSync_RealisticUpdate-10           	  562741	      2105 ns/op	    1872 B/op	      24 allocs/op
BenchmarkRunJSSync_RealisticUpdate-10           	  575884	      2132 ns/op	    1872 B/op	      24 allocs/op
BenchmarkRunJSSync_RealisticUpdate-10           	  602139	      2101 ns/op	    1872 B/op	      24 allocs/op
BenchmarkRunJSSync_RealisticUpdate-10           	  547762	      2106 ns/op	    1872 B/op	      24 allocs/op
BenchmarkRunJSSync_RealisticView-10             	    2612	    448950 ns/op	  127850 B/op	    3870 allocs/op
BenchmarkRunJSSync_RealisticView-10             	    2659	    453694 ns/op	  127852 B/op	    3870 allocs/op
BenchmarkRunJSSync_RealisticView-10             	    2660	    455125 ns/op	  127850 B/op	    3870 allocs/op
BenchmarkRunJSSync_RealisticView-10             	    2709	    448750 ns/op	  127850 B/op	    3870 allocs/op
BenchmarkRunJSSync_RealisticView-10             	    2588	    461303 ns/op	  127850 B/op	    3870 allocs/op
BenchmarkRunJSSync_OriginalView-10              	    2617	    451491 ns/op	  127850 B/op	    3870 allocs/op
BenchmarkRunJSSync_OriginalView-10              	    2718	    447153 ns/op	  127850 B/op	    3870 allocs/op
BenchmarkRunJSSync_OriginalView-10              	    2701	    455240 ns/op	  127850 B/op	    3870 allocs/op
BenchmarkRunJSSync_OriginalView-10              	    2600	    457063 ns/op	  127850 B/op	    3870 allocs/op
BenchmarkRunJSSync_OriginalView-10              	    2660	    452895 ns/op	  127850 B/op	    3870 allocs/op
BenchmarkConcurrentRunJSSync-10                 	  516690	      2317 ns/op	     424 B/op	       7 allocs/op
BenchmarkConcurrentRunJSSync-10                 	  528376	      2364 ns/op	     424 B/op	       7 allocs/op
BenchmarkConcurrentRunJSSync-10                 	  515047	      2315 ns/op	     424 B/op	       7 allocs/op
BenchmarkConcurrentRunJSSync-10                 	  533156	      2310 ns/op	     424 B/op	       7 allocs/op
BenchmarkConcurrentRunJSSync-10                 	  520906	      2328 ns/op	     424 B/op	       7 allocs/op
BenchmarkInputLatency_KeyToStateChange-10       	  461607	      2295 ns/op	    1872 B/op	      26 allocs/op
BenchmarkInputLatency_KeyToStateChange-10       	  544699	      2289 ns/op	    1872 B/op	      26 allocs/op
BenchmarkInputLatency_KeyToStateChange-10       	  503886	      2309 ns/op	    1872 B/op	      26 allocs/op
BenchmarkInputLatency_KeyToStateChange-10       	  464865	      2554 ns/op	    1872 B/op	      26 allocs/op
BenchmarkInputLatency_KeyToStateChange-10       	  528535	      2303 ns/op	    1872 B/op	      26 allocs/op
BenchmarkInputLatency_TickContention-10         	    8985	    132244 ns/op	  102480 B/op	    1524 allocs/op
BenchmarkInputLatency_TickContention-10         	    9064	    129659 ns/op	  102480 B/op	    1524 allocs/op
BenchmarkInputLatency_TickContention-10         	    9517	    131065 ns/op	  102480 B/op	    1524 allocs/op
BenchmarkInputLatency_TickContention-10         	    9090	    128543 ns/op	  102480 B/op	    1524 allocs/op
BenchmarkInputLatency_TickContention-10         	    9366	    129242 ns/op	  102480 B/op	    1524 allocs/op
BenchmarkInputLatency_FullFrameCycle-10         	    3884	    339052 ns/op	  129105 B/op	    3886 allocs/op
BenchmarkInputLatency_FullFrameCycle-10         	    3667	    311546 ns/op	  129104 B/op	    3886 allocs/op
BenchmarkInputLatency_FullFrameCycle-10         	    3888	    306695 ns/op	  129104 B/op	    3886 allocs/op
BenchmarkInputLatency_FullFrameCycle-10         	    3862	    310613 ns/op	  129104 B/op	    3886 allocs/op
BenchmarkInputLatency_FullFrameCycle-10         	    3969	    314170 ns/op	  129104 B/op	    3886 allocs/op
